"site","round","rep","species","start_date","NOTES","date","n_germ"
"GB","1","8","DC",2020-01-22,NA,2020-01-25,"14"
"GB","1","8","DC",2020-01-22,NA,2020-01-26,"2"
"GB","1","8","DC",2020-01-22,NA,2020-01-27,"5"
"GB","1","8","DC",2020-01-22,NA,2020-01-28,"1"
"GB","1","8","DC",2020-01-22,NA,2020-01-29,"9"
"GB","1","8","DC",2020-01-22,NA,2020-01-30,"1"
"GB","1","8","DC",2020-01-22,NA,2020-01-31,"5"
"GB","1","8","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","8","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","8","DC",2020-01-22,NA,2020-02-03,"1"
"GB","1","8","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","8","DC",2020-01-22,NA,2020-02-05,"1"
"GB","1","8","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","8","DC",2020-01-22,NA,2020-02-07,"0"
"GB","1","9","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","9","DC",2020-01-22,NA,2020-01-22,"1"
"GB","1","9","DC",2020-01-22,NA,2020-01-23,"0"
"GB","1","9","DC",2020-01-22,NA,2020-01-24,"1"
"GB","1","9","DC",2020-01-22,NA,2020-01-25,"0"
"GB","1","9","DC",2020-01-22,NA,2020-01-26,"23"
"GB","1","9","DC",2020-01-22,NA,2020-01-27,"4"
"GB","1","9","DC",2020-01-22,NA,2020-01-28,"2"
"GB","1","9","DC",2020-01-22,NA,2020-01-29,"1"
"GB","1","9","DC",2020-01-22,NA,2020-01-30,"1"
"GB","1","9","DC",2020-01-22,NA,2020-01-31,"5"
"GB","1","9","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","9","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","9","DC",2020-01-22,NA,2020-02-03,"0"
"GB","1","9","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","9","DC",2020-01-22,NA,2020-02-05,"0"
"GB","1","9","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","9","DC",2020-01-22,NA,2020-02-07,"0"
"GB","1","10","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","10","DC",2020-01-22,NA,2020-01-22,"0"
"GB","1","10","DC",2020-01-22,NA,2020-01-23,"0"
"GB","1","10","DC",2020-01-22,NA,2020-01-24,"2"
"GB","1","10","DC",2020-01-22,NA,2020-01-25,"0"
"GB","1","10","DC",2020-01-22,NA,2020-01-26,"0"
"GB","1","10","DC",2020-01-22,NA,2020-01-27,"2"
"GB","1","10","DC",2020-01-22,NA,2020-01-28,"3"
"GB","1","10","DC",2020-01-22,NA,2020-01-29,"6"
"GB","1","10","DC",2020-01-22,NA,2020-01-30,"7"
"GB","1","10","DC",2020-01-22,NA,2020-01-31,"11"
"GB","1","10","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","10","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","10","DC",2020-01-22,NA,2020-02-03,"0"
"GB","1","10","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","10","DC",2020-01-22,NA,2020-02-05,"2"
"GB","1","10","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","10","DC",2020-01-22,NA,2020-02-07,"4"
"MA","1","1","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","1","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","1","DC",2020-01-23,NA,2020-01-23,"1"
"MA","1","1","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","1","DC",2020-01-23,NA,2020-01-25,"2"
"MA","1","1","DC",2020-01-23,NA,2020-01-26,"6"
"MA","1","1","DC",2020-01-23,NA,2020-01-27,"0"
"MA","1","1","DC",2020-01-23,NA,2020-01-28,"2"
"MA","1","1","DC",2020-01-23,NA,2020-01-29,"3"
"MA","1","1","DC",2020-01-23,NA,2020-01-30,"3"
"MA","1","1","DC",2020-01-23,NA,2020-01-31,"8"
"MA","1","1","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","1","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","1","DC",2020-01-23,NA,2020-02-03,"0"
"MA","1","1","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","1","DC",2020-01-23,NA,2020-02-05,"0"
"MA","1","1","DC",2020-01-23,NA,2020-02-06,"0"
"MA","1","1","DC",2020-01-23,NA,2020-02-07,"3"
"MA","1","2","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","2","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","2","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","2","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","2","DC",2020-01-23,NA,2020-01-25,"0"
"MA","1","2","DC",2020-01-23,NA,2020-01-26,"2"
"MA","1","2","DC",2020-01-23,NA,2020-01-27,"10"
"MA","1","2","DC",2020-01-23,NA,2020-01-28,"3"
"MA","1","2","DC",2020-01-23,NA,2020-01-29,"10"
"MA","1","2","DC",2020-01-23,NA,2020-01-30,"4"
"MA","1","2","DC",2020-01-23,NA,2020-01-31,"3"
"MA","1","2","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","2","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","2","DC",2020-01-23,NA,2020-02-03,"0"
"MA","1","2","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","2","DC",2020-01-23,NA,2020-02-05,"2"
"MA","1","2","DC",2020-01-23,NA,2020-02-06,"0"
"MA","1","2","DC",2020-01-23,NA,2020-02-07,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","3","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","3","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-25,"0"
"MA","1","3","DC",2020-01-23,NA,2020-01-26,"11"
